seal_name,seal_path,seal_interpretation,processed_name,processed_path,image_name,image_path,front_page,type,property
62_11.jpg,@/assets/data/Seals/62_11.jpg,蘭坡經眼,62-09-蘭坡經眼.jpg,@/assets/data/Processed/62-09-蘭坡經眼.jpg,62.jpg,@/assets/data/Images/62.jpg,62.jpg,baiwen,collection
62_12.jpg,@/assets/data/Seals/62_12.jpg,左田氏心賞,62-10-左田氏心賞.jpg,@/assets/data/Processed/62-10-左田氏心賞.jpg,62.jpg,@/assets/data/Images/62.jpg,62.jpg,baiwen,collection
62_2.jpg,@/assets/data/Seals/62_2.jpg,前有龍眠濟,62-01-前有龍眠濟.jpg,@/assets/data/Processed/62-01-前有龍眠濟.jpg,62.jpg,@/assets/data/Images/62.jpg,62.jpg,baiwen,personal
62_3.jpg,@/assets/data/Seals/62_3.jpg,石濤,62-04-石濤.jpg,@/assets/data/Processed/62-04-石濤.jpg,62.jpg,@/assets/data/Images/62.jpg,62.jpg,zhuwen,personal
62_4.jpg,@/assets/data/Seals/62_4.jpg,原濟,62-03-原濟.jpg,@/assets/data/Processed/62-03-原濟.jpg,62.jpg,@/assets/data/Images/62.jpg,62.jpg,baiwen,personal
62_5.jpg,@/assets/data/Seals/62_5.jpg,頭白依然不識字,62-05-頭白依然不識字.jpg,@/assets/data/Processed/62-05-頭白依然不識字.jpg,62.jpg,@/assets/data/Images/62.jpg,62.jpg,baiwen,personal
62_6.jpg,@/assets/data/Seals/62_6.jpg,苦瓜和尚,62-06-苦瓜和尚.jpg,@/assets/data/Processed/62-06-苦瓜和尚.jpg,62.jpg,@/assets/data/Images/62.jpg,62.jpg,baiwen,personal
62_7.jpg,@/assets/data/Seals/62_7.jpg,曾經我眼即我有,62-08-曾經我眼即我有.jpg,@/assets/data/Processed/62-08-曾經我眼即我有.jpg,62.jpg,@/assets/data/Images/62.jpg,62.jpg,baiwen,collection
62_8.jpg,@/assets/data/Seals/62_8.jpg,弢翁珍貦,62-11-弢翁珍貦.jpg,@/assets/data/Processed/62-11-弢翁珍貦.jpg,62.jpg,@/assets/data/Images/62.jpg,62.jpg,zhuwen,collection
62_9.jpg,@/assets/data/Seals/62_9.jpg,世綱審定,62-12-世綱審定.jpg,@/assets/data/Processed/62-12-世綱審定.jpg,62.jpg,@/assets/data/Images/62.jpg,62.jpg,baiwen,collection
66(1)_0.jpg,@/assets/data/Seals/66(1)_0.jpg,贊之十世孫阿長,66-09-贊之十世孫阿長.jpg,@/assets/data/Processed/66-09-贊之十世孫阿長.jpg,66(1).jpg,@/assets/data/Images/66(1).jpg,66(1).jpg,zhuwen,collection
66(1)_1.jpg,@/assets/data/Seals/66(1)_1.jpg,半个漢,66-07-半个漢.jpg,@/assets/data/Processed/66-07-半个漢.jpg,66(1).jpg,@/assets/data/Images/66(1).jpg,66(1).jpg,zhuwen,collection
66(10)_0.jpg,@/assets/data/Seals/66(10)_0.jpg,瞎尊者,66-04-瞎尊者.jpg,@/assets/data/Processed/66-04-瞎尊者.jpg,66(10).jpg,@/assets/data/Images/66(10).jpg,66(1).jpg,zhuwen,personal
66(10)_1.jpg,@/assets/data/Seals/66(10)_1.jpg,少唐審定,66-12-少唐審定.jpg,@/assets/data/Processed/66-12-少唐審定.jpg,66(10).jpg,@/assets/data/Images/66(10).jpg,66(1).jpg,zhuwen,collection
66(12)_0.jpg,@/assets/data/Seals/66(12)_0.jpg,少唐審定,66-12-少唐審定.jpg,@/assets/data/Processed/66-12-少唐審定.jpg,66(12).jpg,@/assets/data/Images/66(12).jpg,66(1).jpg,zhuwen,collection
66(12)_1.jpg,@/assets/data/Seals/66(12)_1.jpg,原濟,66-02-原濟.jpg,@/assets/data/Processed/66-02-原濟.jpg,66(12).jpg,@/assets/data/Images/66(12).jpg,66(1).jpg,baiwen,personal
66(12)_2.jpg,@/assets/data/Seals/66(12)_2.jpg,石濤,66-03-石濤.jpg,@/assets/data/Processed/66-03-石濤.jpg,66(12).jpg,@/assets/data/Images/66(12).jpg,66(1).jpg,zhuwen,personal
66(13)_0.jpg,@/assets/data/Seals/66(13)_0.jpg,廣陶,66-13-廣陶.jpg,@/assets/data/Processed/66-13-廣陶.jpg,66(13).jpg,@/assets/data/Images/66(13).jpg,66(1).jpg,baiwen,collection
66(14)_0.jpg,@/assets/data/Seals/66(14)_0.jpg,瞎尊者,66-04-瞎尊者.jpg,@/assets/data/Processed/66-04-瞎尊者.jpg,66(14).jpg,@/assets/data/Images/66(14).jpg,66(1).jpg,zhuwen,personal
66(14)_1.jpg,@/assets/data/Seals/66(14)_1.jpg,嶽雪樓印,66-14-嶽雪樓印.jpg,@/assets/data/Processed/66-14-嶽雪樓印.jpg,66(14).jpg,@/assets/data/Images/66(14).jpg,66(1).jpg,zhuwen,collection
66(15)_0.jpg,@/assets/data/Seals/66(15)_0.jpg,笛江,66-11-笛江.jpg,@/assets/data/Processed/66-11-笛江.jpg,66(15).jpg,@/assets/data/Images/66(15).jpg,66(1).jpg,zhuwen,collection
66(16)_0.jpg,@/assets/data/Seals/66(16)_0.jpg,少唐心賞,66-16-少唐心賞.jpg,@/assets/data/Processed/66-16-少唐心賞.jpg,66(16).jpg,@/assets/data/Images/66(16).jpg,66(1).jpg,baiwen,collection
66(16)_1.jpg,@/assets/data/Seals/66(16)_1.jpg,樹鈞,66-01-樹鈞.jpg,@/assets/data/Processed/66-01-樹鈞.jpg,66(16).jpg,@/assets/data/Images/66(16).jpg,66(1).jpg,baiwen,collection
66(17)_0.jpg,@/assets/data/Seals/66(17)_0.jpg,少唐翰墨,66-20-少唐翰墨.jpg,@/assets/data/Processed/66-20-少唐翰墨.jpg,66(17).jpg,@/assets/data/Images/66(17).jpg,66(1).jpg,baiwen,collection
66(18)_0.jpg,@/assets/data/Seals/66(18)_0.jpg,嶽雪樓鑒藏金石書畫圖籍之章,66-15-嶽雪樓鑒藏金石書畫圖籍之章.jpg,@/assets/data/Processed/66-15-嶽雪樓鑒藏金石書畫圖籍之章.jpg,66(18).jpg,@/assets/data/Images/66(18).jpg,66(1).jpg,zhuwen,collection
66(18)_1.jpg,@/assets/data/Seals/66(18)_1.jpg,瞎尊者,66-04-瞎尊者.jpg,@/assets/data/Processed/66-04-瞎尊者.jpg,66(18).jpg,@/assets/data/Images/66(18).jpg,66(1).jpg,zhuwen,personal
